,X,Year,Site,Temp,pcnt,Pop,PopWt,PopSE,Species,BMpcnt,pcntSE
1063,1063,2000,C31,16.86153846,0.777777778,0.679867111,3,0.78884501,Species4,0.928782668,0.097990789
1064,1064,2000,C02,17.44615385,0.25,-1.909035343,6.333333333,1.588223887,Species4,3.281502618,0.216506351
1065,1065,2000,C06,16.59230769,0,0.40362179,0.5,3.491900103,Species4,-1.149538696,0.173205081
1066,1066,2000,C28,17.05384615,0,0.165618911,1.016806723,0.622528247,Species4,5.536677038,0.134164079
1067,1067,2000,C13,17.43076923,0,0,1.00E-04,1.227235185,Species4,5.453895642,0.3
1069,1069,2000,C11,17.44615385,0,0,1.00E-04,1.791759469,Species4,2.939708962,0.134164079
1071,1071,2001,C09,18.56153846,0,0.776523549,3.6,0.779061295,Species4,-0.524149368,0.173205081
1072,1072,2001,C24,18.79230769,0,0,1.00E-04,1.225498765,Species4,3.473366594,0.212132034
1075,1075,2001,C30,19.33846154,0.269230769,0.536781891,6.5,0.410025868,Species4,1.179249001,0.086989292
1076,1076,2001,C14,18.63846154,0.142857143,0.303383085,1.5,0.681122102,Species4,2.620977464,0.132260014
1080,1080,2001,C32,19.34615385,0.454545455,0.587067306,6.177777778,0.483491044,Species4,-3.182981711,0.150131423
1081,1081,2001,C08,19.34615385,0.333333333,0.364538188,3.5,0.465081481,Species4,-2.138651822,0.272165527
1082,1082,2001,C31,19.13076923,0.5,0.152239048,1,0.599302496,Species4,-0.0310707,0.133630621
1083,1083,2001,C48,19.33846154,0.753846154,0.190761965,2.85,0.358748892,Species4,0.157161051,0.053430347
1084,1084,2001,C02,18.70769231,0.818181818,1.59571799,4.333333333,1.621421643,Species4,-1.057205805,0.1162913
1086,1086,2001,C11,18.70769231,0.571428571,-1.791759469,1,1.198947636,Species4,3.265452363,0.187043906
1088,1088,2001,C46,18.11538462,0,0,1.00E-04,2.298641007,Species4,5.347819203,0.173205081
1089,1089,2001,C13,18.79230769,0.8,-0.400091829,0.666666667,2.265240985,Species4,0.192991296,0.178885438
1131,1131,2010,C02,17.03846154,0.714285714,0.099574259,2,0.347496794,Species4,-0.146319916,0.069707148
1132,1132,2010,C78,16.77692308,0,0.685157104,1.666666667,1.820064806,Species4,-0.272555447,0.106066017
1134,1134,2010,C58,17.50769231,0.5,0.454406749,1.833333333,0.733823098,Species4,-1.522444177,0.083333333
1135,1135,2010,C20,16.89230769,0,-0.068993962,1.529411765,0.304984949,Species4,4.200245431,0.3
1137,1137,2010,C30,17.36153846,0.3125,0.201585556,4.5,0.30265778,Species4,-1.12992455,0.081938191
1138,1138,2010,C49,16.89230769,0.644444444,0.272651481,6,0.301082558,Species4,-0.625682607,0.071357598
1140,1140,2010,C66,16.93076923,0.684210526,1.480818347,3.5,2.214301345,Species4,-2.623297112,0.106639205
1141,1141,2010,C19,16.77692308,0.407407407,0.285057928,6,0.330774367,Species4,0.29033132,0.066864514
1142,1142,2010,C01,16.89230769,0.53125,-0.589433773,17.4375,0.269891369,Species4,-0.433966435,0.088215545
1148,1148,2010,C65,16.72307692,0.604651163,0.191896446,3.166666667,0.352532689,Species4,1.22443841,0.074560438
1149,1149,2010,C09,16.89230769,0.333333333,0.193214117,1,0.684468445,Species4,0.377103965,0.19245009
1150,1150,2010,C36,16.77692308,0.522727273,0.284707802,6,0.324827507,Species4,-2.932378154,0.075299926
1152,1152,2010,C24,17.40769231,0,0.446990383,1,2.211041189,Species4,-2.067214656,0.212132034
1153,1153,2010,C04,16.77692308,0.733333333,0.079325748,0.5,0.634490928,Species4,-0.175191819,0.114179845
1154,1154,2010,C56,16.99230769,0.711864407,0.24184181,2.666666667,0.443266275,Species4,-0.982803175,0.058961848
1156,1156,2010,C69,17.03846154,0.5,0.227760387,1.625,0.574599783,Species4,-0.110207471,0.111803399
1157,1157,2010,C47,16.73846154,0.733333333,0.290105008,3.227272727,0.402445853,Species4,-1.708985047,0.114179845
1159,1159,2010,C46,16.63076923,0,-4.597282013,1,2.642688428,Species4,-11.67563977,0.3
1160,1160,2010,C06,16.96923077,0.515151515,0,1.00E-04,0,Species4,-0.291424136,0.086998856
1166,1166,2010,C13,17.40769231,0.384615385,0.296753822,0.583333333,2.265240985,Species4,-2.360267987,0.134932003
1167,1167,2010,C73,16.29230769,0.428571429,0.152236324,0.761904762,0.694351893,Species4,0.246288107,0.132260014
1168,1168,2010,C31,17.16153846,0.722222222,0.138709522,1.5,0.444859695,Species4,0.89575447,0.105571799
1170,1170,2011,C02,17.01538462,0.74,0.173578907,4,0.274305397,Species4,-0.590432116,0.06203225
1172,1172,2011,C69,17.01538462,0.66,-0.856235984,4.589285714,0.722868948,Species4,0.021866542,0.066992537
1173,1173,2011,C58,17.23076923,0.672727273,-0.135539286,0.636363636,0.748093383,Species4,0.753343271,0.063269307
1174,1174,2011,C04,17.27692308,0.642857143,-0.363906921,2,0.630304685,Species4,1.875392589,0.128060208
1176,1176,2011,C01,17.34615385,0.676923077,-0.193785065,3.825657895,0.338175622,Species4,-0.768474988,0.058005069
1177,1177,2011,C06,16.66153846,0.512820513,0,1.00E-04,0,Species4,0.253523038,0.080037753
1178,1178,2011,C20,17.34615385,0.5,-0.234363067,4.473389356,0.327482318,Species4,1.716487222,0.353553391
1179,1179,2011,C78,17.27692308,0.076923077,-0.10446957,0.333333333,0.884821283,Species4,0.491316524,0.073905302
1180,1180,2011,C30,17.03076923,0.583333333,-0.486812712,9.5,0.313483935,Species4,-0.492431382,0.063646885
1181,1181,2011,C49,17.34615385,0.523809524,-0.374704015,7.857142857,0.303425125,Species4,-0.661477737,0.077064152
1184,1184,2011,C66,16.48461538,0.6,-0.322839842,1.25,0.745818459,Species4,-1.022299519,0.154919334
1185,1185,2011,C19,17.27692308,0.720720721,-0.341599896,7,0.324120043,Species4,-0.417389525,0.042583502
1186,1186,2011,C72,17.33076923,0,-0.315386176,9,0.269530912,Species4,-1.592639979,0.173205081
1190,1190,2011,C09,17.34615385,0.375,0.312674224,2.089285714,0.544920218,Species4,-0.301053304,0.12103073
1191,1191,2011,C36,17.27692308,0.632653061,0.19904463,5.333333333,0.282350294,Species4,-2.655062593,0.068868874
1193,1193,2011,C24,16.74615385,0.285714286,-0.134855102,0.35,1.076603547,Species4,-1.640856217,0.170746944
1194,1194,2011,C76,16.76153846,0,0.040926366,0.584313725,0.382746771,Species4,5.866226274,0.122474487
1195,1195,2011,C47,16.76153846,0.789473684,0.016803327,0.217171717,0.405263414,Species4,0.50567163,0.09352877
1196,1196,2011,C56,17.10769231,0.62962963,-0.312691594,3.333333333,0.431073012,Species4,1.61669831,0.053655987
1200,1200,2011,C27,17.04615385,0.857142857,0.480905291,15,0.268861726,Species4,-0.519547381,0.041824289
1201,1201,2011,C13,16.74615385,0.5,0,1.00E-04,1.084296156,Species4,0.110130811,0.106600358
1202,1202,2011,C73,17.16153846,0.2,-0.340117541,1.555555556,0.72001182,Species4,-2.315107212,0.103279556
1203,1203,2011,C31,16.8,0.64,-0.014495572,0.166666667,0.440263449,Species4,1.646946809,0.096
1205,1205,2012,C02,17.91538462,0.613636364,-0.222127169,5,0.31920802,Species4,0.011860439,0.073405285
1207,1207,2012,C82,17.6,0.666666667,-1.682389391,2.958333333,2.803121813,Species4,-2.572398592,0.272165527
1209,1209,2012,C58,17.6,0.49122807,-1.457762605,3.363636364,2.550572862,Species4,0.115577246,0.066216425
1210,1210,2012,C04,18.17692308,0.444444444,0.363906921,2,0.650945621,Species4,1.695038851,0.117121395
1211,1211,2012,C09,17.71538462,0.514285714,-0.334880792,2.214285714,0.563129821,Species4,-0.354554043,0.084480922
1212,1212,2012,C06,17.58461538,0.448979592,0,1.00E-04,0,Species4,-0.14995837,0.071055729
1215,1215,2012,C69,17.91538462,0.7,0.04129227,0.142857143,0.777406823,Species4,0.420921724,0.059160798
1216,1216,2012,C13,17.74615385,0.461538462,0.143289475,0.35,1.029926536,Species4,0.610517253,0.138264159
1218,1218,2012,C01,17.71538462,0.64556962,-0.72627758,9.236842105,0.409787499,Species4,-0.504422314,0.053817493
1219,1219,2012,C36,18.17692308,0.64,-0.241215794,6.333333333,0.284191035,Species4,-1.167816662,0.096
1220,1220,2012,C19,18.17692308,0.523809524,0.299382952,6,0.303228291,Species4,-0.369369222,0.054492584
1221,1221,2012,C27,18.96153846,0.653333333,0,1.00E-04,0.232633871,Species4,-1.804673063,0.054953179
1223,1223,2012,C20,17.71538462,0,-0.705669719,8.574404762,0.459508029,Species4,2.09570936,0.3
1224,1224,2012,C78,18.17692308,0.285714286,0.10446957,0.333333333,0.897492231,Species4,0.59238146,0.170746944
1225,1225,2012,C49,17.71538462,0.3,0.152974141,2.857142857,0.333700487,Species4,2.237708921,0.102469508
1227,1227,2012,C66,17.54615385,0.454545455,-0.259582573,0.75,1.021066274,Species4,1.526934347,0.150131423
1228,1228,2012,C56,18.43846154,0.694915254,-0.022272185,0.2,0.499166989,Species4,1.350689008,0.059944613
1231,1231,2012,C24,17.74615385,0.2,0.079271046,0.2,0.885971406,Species4,-2.501379478,0.178885438
1232,1232,2012,C46,17.36923077,0,6.093489148,4.5,0.624569231,Species4,0.184885686,0.3
1233,1233,2012,C47,17.29230769,0.722222222,-0.422883942,4.494444444,0.472359015,Species4,0.745546489,0.105571799
1235,1235,2012,C73,17.44615385,0,0.100048109,0.404040404,0.788033955,Species4,-5.318238212,0.122474487
1238,1238,2012,C31,17.75384615,0.688888889,-0.104569459,1.133333333,0.443573055,Species4,1.148942195,0.069012235
1239,1239,2013,C02,20.67692308,0.695652174,-0.507445123,8,0.34418063,Species4,0.029329062,0.067842565
1241,1241,2013,C82,20.48461538,0.589285714,0.956800887,1.083333333,2.704083894,Species4,1.558578841,0.065741385
1243,1243,2013,C79,21.12307692,0.454545455,-2.128710393,7.5,2.583836331,Species4,-1.144939415,0.106158947
1244,1244,2013,C58,20.48461538,0.407407407,1.488393132,3.5,2.410911965,Species4,-0.040277942,0.094560702
1246,1246,2013,C04,20.74615385,0.375,-0.079325748,0.5,0.596629618,Species4,3.067552928,0.171163299
1247,1247,2013,C09,20.43076923,0.421052632,0.145990149,0.875,0.600880108,Species4,-1.199626975,0.113268966
1248,1248,2013,C69,20.67692308,0.1875,1.051088186,6.571428571,0.6825099,Species4,-0.947161007,0.03983609
1249,1249,2013,C06,19.7,0.21875,4.510859507,0.5,2.599248516,Species4,0.027056722,0.073079246
1252,1252,2013,C13,20.34615385,0.5,0.427870356,1.4,0.997050304,Species4,-0.384944079,0.106600358
1253,1253,2013,C37,20.63846154,0,0.623533481,8,0.431509847,Species4,-2.115719796,0.173205081
1254,1254,2013,C01,20.43076923,0.548387097,1.005523187,15,0.418597315,Species4,-2.86028643,0.08938115
1255,1255,2013,C36,20.74615385,0.535714286,-0.242536638,5,0.306859818,Species4,-1.617117318,0.094249761
1256,1256,2013,C19,20.74615385,0.454545455,-0.242840984,5,0.316909975,Species4,-1.585756736,0.056744344
1259,1259,2013,C24,20.34615385,0,0.608849655,2.2,0.795134324,Species4,1.723479197,0.15
1260,1260,2013,C31,20.09230769,0.625,0.119065031,1.3,0.429451309,Species4,-0.570161544,0.098821177
1262,1262,2013,C18,21.16153846,0.166666667,0.206080683,4.5,0.3066847,Species4,2.550168202,0.152145155
1264,1264,2013,C49,20.43076923,0.296296296,-0.161273225,3,0.342951638,Species4,-0.681517578,0.087877187
1267,1267,2013,C20,20.43076923,0.166666667,0.972113906,13.74583333,0.408089763,Species4,-2.647220743,0.107582871
1268,1268,2013,C78,20.74615385,0.076923077,0.094580634,0.333333333,0.831037239,Species4,1.027067465,0.073905302
1269,1269,2013,C17,21.16153846,0.15,0.132478201,2.5,0.332335995,Species4,-1.998855193,0.079843597
1270,1270,2013,C66,20,0.25,0.948076336,4,0.818551807,Species4,0.251528892,0.216506351
1273,1273,2013,C47,20.06153846,0.647058824,0.235211973,2.264285714,0.44326892,Species4,-0.576365084,0.115904043
1274,1274,2013,C56,20.90769231,0.362068966,0.022272185,0.2,0.476697602,Species4,-0.368871565,0.06310569
1276,1276,2013,C73,20.29230769,0,-0.129411654,0.515151515,0.788750219,Species4,-3.529065733,0.067082039
1277,1277,2006,C02,19.96923077,1,0.459066755,3.166666667,0.586190675,Species4,-3.97534205,0
1279,1279,2006,C32,20.36153846,0.735294118,0.162602564,2.571428571,0.379711914,Species4,-0.604429508,0.075661141
1281,1281,2006,C13,20.26923077,0,-0.582035594,1.333333333,2.124959722,Species4,-0.711000539,0.173205081
1283,1283,2006,C56,20.28461538,0.777777778,0.358387481,2.333333333,0.589352044,Species4,-1.010951461,0.097990789
1284,1284,2006,C61,20.36153846,0.878787879,0.112805098,1.4,0.385146894,Species4,-0.468133818,0.040173816
1285,1285,2006,C55,20.36153846,0.352941176,0.226360899,1.166666667,0.643625767,Species4,2.625651823,0.115904043
1286,1286,2006,C11,19.96923077,0.4,0.681586358,8.5,0.42775806,Species4,2.443509785,0.219089023
1287,1287,2006,C20,19.97692308,0.5,-0.592935658,7.325,0.419617738,Species4,0.687442812,0.353553391
1288,1288,2006,C09,19.97692308,0.2,0.363666189,2.222222222,0.593500583,Species4,-1.78437935,0.178885438
1290,1290,2006,C53,20.39230769,0.2,0.838141841,14.66666667,0.354720669,Species4,-1.516256735,0.103279556
1291,1291,2006,C30,20.47692308,0.636363636,0.511678617,5.666666667,0.44208763,Species4,-0.99689799,0.145040734
1292,1292,2006,C60,20.73076923,0.5,0.377675663,7,0.362871943,Species4,-5.926908399,0.204124145
1294,1294,2006,C24,20.26923077,0.25,-0.152433607,0.333333333,1.138696565,Species4,0.748060833,0.216506351
1296,1296,2006,C19,19.73846154,0.509433962,0.397674416,4,0.435790426,Species4,-1.768050238,0.068668056
1298,1298,2006,C31,20.06153846,0.888888889,0.213531634,1.4,0.558220237,Species4,-0.070331367,0.074074074
1300,1300,2007,C02,17.45384615,0.363636364,0.529158743,6,0.442584593,Species4,-0.846016669,0.145040734
1301,1301,2007,C46,17.03846154,0,0.910224855,1.5,2.844576081,Species4,1.692042071,0.173205081
1304,1304,2007,C69,17.45384615,0.964285714,-0.160314985,2.8,0.334041637,Species4,0.13952907,0.035070732
1306,1306,2007,C09,17.20769231,0.25,-0.156439192,1.055555556,0.544168667,Species4,0.110661555,0.108253175
1308,1308,2007,C53,17.48461538,0.607142857,-0.175804163,4.166666667,0.305353955,Species4,-0.932286588,0.092296186
1309,1309,2007,C30,17.74615385,0.628571429,0.192301212,3,0.369315187,Species4,0.727374875,0.081673459
1312,1312,2007,C24,17.47692308,0,-0.68120952,1,2.411768193,Species4,0.5777888,0.212132034
1313,1313,2007,C13,17.47692308,0.333333333,-0.502260562,0.666666667,2.606455655,Species4,-2.382080248,0.19245009
1315,1315,2007,C32,17.3,0.576923077,0.225458926,4.333333333,0.317398527,Species4,-1.193176306,0.068512048
1316,1316,2007,C56,17.28461538,0.526315789,0.194860325,1.666666667,0.486001835,Species4,-1.30762952,0.114548882
1319,1319,2007,C31,17.10769231,0.592592593,0.14466286,1.133333333,0.540970186,Species4,-0.038060748,0.094560702
1322,1322,2005,C11,16.33846154,0.333333333,1.981001469,7.5,1.26148395,Species4,4.926294901,0.15713484
1324,1324,2005,C55,16.38461538,0.37037037,0.036964587,0.166666667,0.678052145,Species4,2.646329587,0.092934895
1325,1325,2005,C32,16.38461538,0.733333333,0.009857817,0.142857143,0.357970246,Species4,0.074257603,0.114179845
1326,1326,2005,C19,16.18461538,0.6625,-0.312084051,3,0.453068928,Species4,1.437063963,0.052867021
1327,1327,2005,C31,16.53846154,0.717948718,-0.03344067,0.2,0.61708971,Species4,1.637892709,0.072057377
1332,1332,2005,C46,15.79230769,0,-0.40209972,0.5,2.844576081,Species4,-2.716397716,0.212132034
1333,1333,2005,C56,16.66153846,0.708333333,-0.220176872,1.333333333,0.599085864,Species4,-0.708439908,0.092780481
1334,1334,2005,C61,16.38461538,0.905882353,0.052533342,0.6,0.433116558,Species4,1.081423794,0.031671014
1336,1336,2005,C53,16.63076923,0.125,-0.348877683,4.666666667,0.40732519,Species4,-0.795866524,0.067507716
1337,1337,2005,C09,16.15384615,0,-0.352718018,2.142857143,0.623265152,Species4,14.94073209,0.3
1340,1340,2005,C30,16.85384615,0.5,-0.273376324,2.666666667,0.485152855,Species4,-0.363662397,0.125
1341,1341,2005,C60,16.87692308,0.454545455,0.067803226,1,0.38094365,Species4,-3.532314403,0.150131423
1342,1342,2005,C48,16.47692308,0,-0.822801915,9.142857143,0.446445875,Species4,3.13547016,0.134164079
1343,1343,2005,C02,16.33846154,0.818181818,2.200263209,4.833333333,1.463932084,Species4,-3.086761794,0.1162913
1344,1344,2005,C24,16.31538462,0.2,0,1.00E-04,1.082663528,Species4,0.053147481,0.178885438
1348,1348,2008,C69,20.53076923,0.793103448,-0.206164279,3,0.381932893,Species4,-3.289786214,0.075221596
1350,1350,2008,C53,20.91538462,0.261904762,-0.17608325,3.5,0.313473189,Species4,-2.819653633,0.06784272
1351,1351,2008,C30,20.45384615,0.470588235,0.161218518,3,0.324173522,Species4,0.824053969,0.085600809
1353,1353,2008,C13,20.41538462,0.272727273,-0.394860924,0.333333333,3.848052629,Species4,1.240823093,0.134281627
1354,1354,2008,C74,20.53076923,0,-0.915297598,10,0.472625262,Species4,-3.693176795,0.3
1355,1355,2008,C32,20.95384615,0.784615385,-0.679205205,10.58333333,0.37852159,Species4,-1.479365052,0.050989302
1359,1359,2008,C56,20.59230769,0.622222222,-0.112307079,1,0.487012163,Species4,-1.500810759,0.072274435
1360,1360,2008,C09,20.49230769,0.333333333,-0.113114233,0.666666667,0.656374389,Species4,2.169276076,0.136082763
1362,1362,2008,C46,19.73076923,0,-1.593343299,2,2.844576081,Species4,4.121402173,0.173205081
1365,1365,2008,C02,20.53076923,0.538461538,0.158035856,2.5,0.378179003,Species4,-0.719686102,0.097767525
1366,1366,2008,C24,20.41538462,0.285714286,0.501286923,0.666666667,2.551645949,Species4,3.278373298,0.170746944
1367,1367,2008,C31,19.80769231,0.730769231,0,1.00E-04,0.551042076,Species4,-0.043866276,0.086989292
1370,1370,2009,C78,17.71538462,0.230769231,0.500270538,0.666666667,2.500000629,Species4,1.608027157,0.116854542
1372,1372,2009,C30,18.73846154,0.582089552,0,1.00E-04,0.306140131,Species4,1.099386382,0.060255836
1373,1373,2009,C13,18.16923077,0,0.897121485,1,2.265240985,Species4,-2.750951746,0.134164079
1374,1374,2009,C53,17.93846154,0.617021277,0.298919364,6.333333333,0.303442126,Species4,-0.090268986,0.070906894
1375,1375,2009,C69,17.9,0.709677419,-0.723913502,6.75,0.50311972,Species4,1.106201166,0.081524859
1376,1376,2009,C47,18.11538462,0.533333333,0,1.00E-04,0.495011238,Species4,-2.121276018,0.128812238
1377,1377,2009,C19,17.71538462,0,1.46804459,14,0.555486989,Species4,-1.529022496,0.3
1380,1380,2009,C09,17.91538462,0.714285714,-0.171007548,0.875,0.649923613,Species4,2.232168657,0.170746944
1382,1382,2009,C24,18.16923077,0,0.048105334,0.083333333,2.665570753,Species4,2.07451524,0.173205081
1383,1383,2009,C46,18.06923077,0,0.683118443,0.5,2.986735849,Species4,5.262460202,0.122474487
1384,1384,2009,C56,18.32307692,0.65625,0.147104641,1.333333333,0.500483982,Species4,-0.647396545,0.083961661
1385,1385,2009,C02,17.9,0.636363636,0.110596981,2,0.340885483,Species4,-1.061101118,0.102559286
1386,1386,2009,C31,18.16153846,0.7,0.180709994,1.666666667,0.497252926,Species4,2.36819579,0.144913767
1391,1391,1998,C08,15.37857143,0,-0.53259639,0.892857143,2.66349169,Species5,-0.223954018,0.09486833
1392,1392,1998,C45,15.24285714,0,-0.285918503,1.125,0.799170959,Species5,-0.560383278,0.06882472
1393,1393,1998,C02,15.3952381,0.5,-1.287585815,6.166666667,0.798642225,Species5,-0.444863477,0.25
1394,1394,1998,C06,14.97142857,0,-0.575027623,5.700854701,0.483762184,Species5,-1.164526132,0.3
1396,1396,1998,C09,15.28095238,0,-2.050447121,3.5,2.303424748,Species5,2.652464127,0.3
1397,1397,1998,C20,15.28095238,0,5.191224933,2,0.545602873,Species5,-4.550889368,0.3
1399,1399,1999,C08,15.54285714,0.2,0.093917281,0.125,3.959846519,Species5,-0.096398303,0.178885438
1400,1400,1999,C20,15.30714286,0,-0.687597423,1,2.939411178,Species5,-7.734657591,0.212132034
1401,1401,1999,C13,15.68333333,1,0.335059879,2,0.656033644,Species5,7.168973343,0
1402,1402,1999,C24,15.68333333,0,0.335108382,2,0.601563761,Species5,5.508104045,0.3
1403,1403,1999,C28,15.59761905,1,-0.087451373,0.272727273,0.907473974,Species5,5.816782509,0
1405,1405,1999,C09,15.30714286,0,1.361493827,1.5,2.592873814,Species5,-0.780151298,0.3
1406,1406,2001,C09,15.67857143,0,-2.064808725,7,2.458153552,Species5,-1.884345575,0.212132034
1407,1407,2001,C24,15.81666667,0,0.403477903,2,0.742054265,Species5,1.582693826,0.212132034
1409,1409,2001,C13,15.81666667,0,0,1.00E-04,0.697667057,Species5,-2.218876006,0.173205081
1410,1410,2001,C46,15.02619048,0,-0.484001606,0.318181818,4.512659363,Species5,-4.194326554,0.212132034
1412,1412,2001,C31,16.02142857,0,-4.892287583,1,2.790837794,Species5,-2.316762652,0.3
1413,1413,2001,C43,15.5547619,0.5,0,1.00E-04,0,Species5,-1.670937703,0.25
1415,1415,2000,C28,15.3952381,0.333333333,0.142550479,0.457219251,0.88250248,Species5,5.292569729,0.272165527
1416,1416,2000,C13,14.93095238,0.5,-0.556969251,3,0.646648583,Species5,-0.329659465,0.25
1417,1417,2000,C24,14.93095238,0,-0.557060084,3,0.684292506,Species5,-0.349585905,0.3
1419,1419,2003,C20,17.10714286,0.583333333,-0.28041018,0.125,4.50362751,Species5,-3.477625902,0.142318761
1420,1420,2003,C09,17.10714286,0,0.352386667,0.5,2.391538245,Species5,0.961856937,0.173205081
1421,1421,2003,C46,16.06190476,0.5,0.446507995,0.415584416,2.801965974,Species5,-3.023361117,0.25
1423,1423,2003,C43,16.83333333,0,5.580807412,0.25,3.482135314,Species5,-1.73434083,0.15
1424,1424,2003,C02,17.16666667,0.5,0.668941606,0.333333333,2.053154865,Species5,1.341382158,0.353553391
1425,1425,2003,C13,17.14047619,1,0,1.00E-04,3.720566325,Species5,-3.997781344,0
1427,1427,2004,C61,15.59047619,0,0,1.00E-04,3.959846519,Species5,0.061286296,0.212132034
1429,1429,2004,C09,15.32380952,0,-0.104246973,0.166666667,2.592873814,Species5,3.442384135,0.3
1430,1430,2004,C43,15.06904762,0.166666667,0,1.00E-04,6.964270629,Species5,2.46392253,0.152145155
1431,1431,2004,C02,15.28333333,0,0.901481064,1,2.395594302,Species5,3.518101938,0.3
1433,1433,2004,C55,15.59047619,0,0.283149854,0.166666667,4.696576652,Species5,8.781351274,0.3
1434,1434,1995,C06,14.08571429,1,-0.292055899,2.111111111,0.606892803,Species5,-2.499041182,0
1435,1435,1995,C08,15.14761905,0.111111111,-0.560905753,2.083333333,0.783582534,Species5,0.124731884,0.10475656
1437,1437,1996,C09,14.81666667,0,-0.659415804,2.583333333,0.798033881,Species5,-1.407651218,0.3
1439,1439,1996,C06,14.19285714,0,0.08549612,0.555555556,0.587746246,Species5,-0.041325268,0.3
1440,1440,1996,C08,15.32857143,0.583333333,0.12256407,0.361111111,0.998159626,Species5,-1.259753502,0.142318761
1441,1441,1996,C04,14.93333333,0.666666667,0,1.00E-04,0,Species5,2.082040077,0.272165527
1442,1442,1996,C02,14.95952381,0,3.429496851,0.5,2.053154865,Species5,-3.53083517,0.212132034
1444,1444,1997,C08,15.57142857,0,-0.370038398,0.968253968,0.998159626,Species5,0.696347001,0.173205081
1448,1448,1997,C20,15.34047619,0,0,1.00E-04,0,Species5,-5.2992509,0.3
1449,1449,1997,C02,15.43809524,0,2.802241462,8,2.264605086,Species5,5.042493712,0.3
1463,1463,2005,C20,15.7547619,0.142857143,0.527105361,0.323232323,4.50362751,Species5,0.775385061,0.076360355
1464,1464,2005,C24,15.54761905,0,-0.401510341,1,0.997007308,Species5,-3.241045798,0.212132034
1466,1466,2005,C09,15.7547619,0.5,0.364294526,0.666666667,2.391538245,Species5,0.187508563,0.353553391
1467,1467,2005,C43,15.32380952,0.35,0,1.00E-04,3.482135314,Species5,-0.004902258,0.106653645
1468,1468,2005,C55,16.23571429,0.285714286,-0.283149854,0.166666667,4.696576652,Species5,3.480482124,0.170746944
1469,1469,2005,C02,15.83571429,0.5,-1.57042267,1.333333333,2.596941174,Species5,-1.554862964,0.204124145
1470,1470,2005,C60,16.82857143,0,-4.968820744,1,2.8292431,Species5,-5.573552609,0.3
1471,1471,2010,C20,16.37857143,1,-0.221477241,0.333333333,2.797416628,Species5,1.223987883,0
1472,1472,2010,C09,16.37857143,0,0.898923633,0.857142857,2.391538245,Species5,-6.398776337,0.3
1473,1473,2010,C06,15.6047619,0,0.132067626,1.766666667,0.385131253,Species5,-3.769168617,0.3
1474,1474,2010,C24,16.14285714,0,0.151901615,0.25,2.418854159,Species5,2.898864538,0.134164079
1476,1476,2010,C75,15.6047619,0.125,0,1.00E-04,0,Species5,1.613942504,0.116926793
1477,1477,2010,C57,15.92142857,0.054347826,0.622127114,6.5,0.488438381,Species5,-0.755316197,0.023635396
1479,1479,2010,C69,16.80952381,0.333333333,0,1.00E-04,0,Species5,-1.666539181,0.19245009
1480,1480,2010,C43,15.6047619,0.6,0,1.00E-04,0,Species5,2.761977601,0.219089023
1481,1481,2010,C02,16.80952381,0.214285714,5.193882348,3,0.798087804,Species5,-3.583051655,0.109664211
1482,1482,2006,C20,16.54761905,0,0.116205524,0.097222222,4.50362751,Species5,1.638547615,0.3
1483,1483,2006,C55,17.44047619,0.333333333,1.239758884,1.25,2.692575078,Species5,1.878906783,0.272165527
1484,1484,2006,C24,16.30714286,0.5,-1.075206607,1.333333333,2.418854159,Species5,1.2333846,0.353553391
1485,1485,2006,C09,16.54761905,0,-0.260047553,0.5,2.393608988,Species5,0.213751865,0.134164079
1487,1487,2006,C43,16.27857143,1,-5.580807412,0.25,3.482135314,Species5,5.046939201,0
1488,1488,2006,C02,16.81666667,0,1.349762678,1,2.395594302,Species5,-4.41492063,0.173205081
1489,1489,2007,C46,15.71190476,0,0.601964487,1,2.943977141,Species5,-4.115999571,0.3
1490,1490,2007,C09,16.53333333,0,-0.324612081,0.466666667,2.592873814,Species5,-0.684989664,0.173205081
1492,1492,2007,C69,16.69285714,0.5,-2.577889287,0.142857143,0,Species5,0.356003802,0.353553391
1493,1493,2007,C02,16.69285714,0,-0.960369344,0.833333333,2.395594302,Species5,-1.352960576,0.173205081
1494,1494,2008,C75,15.87619048,0.184210526,0,1.00E-04,0,Species5,0.755618533,0.062886072
1496,1496,2009,C47,15.38095238,0,0.067872898,0.119047619,1.365320517,Species5,-1.452433158,0.212132034
1497,1497,2009,C46,15.17142857,0,-2.16818356,2.666666667,2.601522649,Species5,-0.856020226,0.173205081
1498,1498,2009,C75,15.80238095,0.5625,0,1.00E-04,0,Species5,-1.401154728,0.124019593
1499,1499,2009,C02,16.04285714,1,-4.10630973,1,2.395594302,Species5,0.872386135,0
1500,1500,2012,C20,15.15238095,0,0.581878943,0.666666667,2.939411178,Species5,-3.128734008,0.3
1501,1501,2012,C04,15.36428571,0,-0.145957745,1.5,0.456364013,Species5,9.130431817,0.3
1502,1502,2012,C01,15.15238095,0,0.512822916,0.556818182,3.070422666,Species5,-4.183478664,0.3
1503,1503,2012,C24,15.29285714,0.2,0,1.00E-04,1.479560863,Species5,3.118150004,0.178885438
1505,1505,2012,C58,15.13571429,1,-1.300561239,2.039473684,2.705564058,Species5,7.829205867,0
1506,1506,2012,C43,14.99285714,0.5,1.384877118,1.5,4.031126342,Species5,1.587824679,0.158113883
